"dfa","label","local_file","remote_zone","local_features","remote_features","local_vertices","remote_vertices","local_area_km2","local_area_ha","remote_area_km2","remote_area_ha","area_delta_km2","intersection_km2","union_km2","symdiff_km2","symdiff_ha","symdiff_pct_of_union","only_local_km2","only_local_ha","only_local_pct_union","only_remote_km2","only_remote_ha","only_remote_pct_union","n_diff_polygons","largest_diff_m2","median_diff_m2","median_diff_mean_width_m","max_diff_mean_width_m","hausdorff_max_displacement_m","perimeter_m","diff_ribbon_total_length_m","diff_ribbon_area_wtd_width_m","ribbon_len_over_perimeter","vertex_offset_median_m","vertex_offset_bearing_deg","residual_after_shift_median_m","geometry_valid_local","geometry_valid_remote","st_make_valid_needed","verdict"
"RRV","Red River Valley DFA (south of Winnipeg)","dfa_all.geojson","Red River Valley",1,1,2479,2479,2103.84214058192,210384.214058192,2103.84262745338,210384.262745338,0.000486871466875076,2103.71056875757,2103.97419927772,0.263630520224552,26.3630520224552,0.0125301213444088,0.131571824383896,13.1571824383896,0.00625349039113999,0.132058695840655,13.2058695840655,0.00627663095326884,88,45720.129629246,753.955272296444,0.767575006634668,1.1302777777474,1.1582636422847,324291,324290.849288282,0.812944678528978,0.999999535257784,1.1572,321.5,0.0015,"TRUE","TRUE","FALSE","trivially-different"
"LRR","Lower Red River DFA (north of Winnipeg)","dfa_lower_red_river.geojson","Lower Red River",1,1,1490,1490,326.32931678969,32632.931678969,326.329389556108,32632.9389556108,7.27664178609848e-05,326.240643631466,326.418062714406,0.177419082972221,17.7419082972221,0.0543533288252651,0.0886731582603607,8.86731582603607,0.0271655182078401,0.0887459247118604,8.87459247118604,0.0271878106174251,350,16050.6531787991,90.7482021974629,0.677238338255055,1.148409877069,1.16368945433059,223813,223813.33720846,0.792710055553895,1.0000015066527,1.1605,321.8,9e-04,"TRUE","TRUE","FALSE","trivially-different"
"TOTAL","Both DFAs combined","both","both",2,2,3969,3969,2430.17145737161,243017.145737161,2430.17201700949,243017.201700949,0.000559637884736061,2429.95121238903,2430.39226199212,0.441049603196773,44.1049603196773,0.0181472600161777,0.220244982644257,22.0244982644257,0.0090621166833262,0.220804620552516,22.0804620552516,0.00908514333285149,438,45720.129629246,NA,NA,1.148409877069,1.16368945433059,548104,548104.186496742,NA,1.00000034025795,NA,NA,NA,"TRUE","TRUE","FALSE","trivially-different"
